"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To"
"EU-TVA-DE-Germany-Normal_rate","DE","*","*","19.00",,,
"EU-TVA-DE-Germany-Reduced_rate","DE","*","*","7.00",,,
"EU-TVA-AU-Austria-Normal_rate","AT","*","*","20.00",,,
"EU-TVA-AU-Austrla-Reduced_rate","AT","*","*","10.00",,,
"EU-TVA-BE-Belgium-Normal_rate","BE","*","*","21.00",,,
"EU-TVA-BE-Belgium-Reduced_rate-12","BE","*","*","12.00",,,
"EU-TVA-BE-Belgium-Reduced_rate-6","BE","*","*","6.00",,,
"EU-TVA-BU-Bulgaria-Normal_rate","BG","*","*","20.00",,,
"EU-TVA-BU-Bulgaria-Reduced_rate","BG","*","*","9.00",,,
"EU-TVA-CY-Chypre-Normal_rate","CY","*","*","19.00",,,
"EU-TVA-CY-Chypre-Reduced_rate-5","CY","*","*","5.00",,,
"EU-TVA-CY-Chypre-Reduced_rate-9","CY","*","*","9.00",,,
"EU-TVA-HR-Croatia-Normal_rate","HR","*","*","25.00",,,
"EU-TVA-HR-Croatia-Reduced_rate","HR","*","*","13.00",,,
"EU-TVA-DK-Denmark-Normal_rate","DK","*","*","25.00",,,
"EU-TVA-EE-Estonia-Normal_rate","EE","*","*","2.00",,,
"EU-TVA-EE-Estonia-Reduced_rate","EE","*","*","9.00",,,
"EU-TVA-ES-Spain-Normal_rate","ES","*","*","21.00",,,
"EU-TVA-ES-Spain-Reduced_rate","ES","*","*","10.00",,,
"EU-TVA-ES-Spain-Very_reduced_rate","ES","*","*","4.00",,,
"EU-TVA-FI-Finland-Normal_rate","FI","*","*","24.00",,,
"EU-TVA-FI-Finland-Reduced_rate-14","FI","*","*","14.00",,,
"EU-TVA-FI-Finland-Reduced_rate-10","FI","*","*","10.00",,,
"EU-TVA-FR-France-Normal_rate","FR","*","*","20.00",,,
"EU-TVA-FR-France-Corse-Gazoiline-oils_products","FR","*","*","13.00",1,20001,20999
"EU-TVA-FR-France-Corse-Circus-animal_sales","FR","*","*","0.9",1,20001,20999
"EU-TVA-FR-France-Corse-Construction_work-agricultural_equipment-low_voltage_electricity","FR","*","*","8.00",1,20001,20999
"EU-TVA-FR-France-Corse-5.5","FR","*","*","2.1",1,20001,20999
"EU-TVA-FR-France-Reduced_rate-10","FR","*","*","10.00",,,
"EU-TVA-FR-France-Reduced_rate-5.5","FR","*","*","5.5",,,
"EU-TVA-FR-France-Very_reduced_rate","FR","*","*","2.1",,,
"EU-TVA-MQ-Martinique-Normal_rate","MQ","*","*","8.5",,,
"EU-TVA-MQ-Martinique-Reduced_rate","MQ","*","*","2.1",,,
"EU-TVA-MQ-Martinique-Press","MQ","*","*","1.05",,,
"EU-TVA-RU-Reunion_island-Normal_rate","RU","*","*","8.5",,,
"EU-TVA-RU-Reunion_island-Reduced_rate","RU","*","*","2.1",,,
"EU-TVA-RU-Reunion_island-Press","RU","*","*","1.05",,,
"EU-TVA-GF-Guyanna-Normal_rate","GF","*","*","0.00",,,
"EU-TVA-YT-Mayotte-Normal_rate","YT","*","*","0.00",,,
"EU-TVA-GP-Guadeloupe-Normal_rate","GP","*","*","8.5",,,
"EU-TVA-GP-Guadeloupe-Reduced_rate","GP","*","*","2.1",,,
"EU-TVA-GP-Guadeloupe-Press","GP","*","*","1.05",,,
"EU-TVA-GR-Greece-Normal_rate","GR","*","*","23.00",,,
"EU-TVA-GR-Greece-Reduced_rate-13","GR","*","*","13.00",,,
"EU-TVA-GR-Greece-Reduced_rate-6.5","GR","*","*","6.50",,,
"EU-TVA-HU-Hungria-Normal_rate","HU","*","*","27.00",,,
"EU-TVA-HU-Hungria-Reduced_rate-18","HU","*","*","18.00",,,
"EU-TVA-HU-Hungria-Reduced_rate-5","HU","*","*","5.00",,,
"EU-TVA-IE-Irland-Normal_rate","IE","*","*","23.00",,,
"EU-TVA-IE-Irland-Reduced_rate-13.5","IE","*","*","13.50",,,
"EU-TVA-IE-Irland-Reduced_rate-9","IE","*","*","9.00",,,
"EU-TVA-IE-Irland-Very_reduced_rate","IE","*","*","4.80",,,
"EU-TVA-IT-Italy-Normal_rate","IT","*","*","22.00",,,
"EU-TVA-IT-Italy-Reduced_rate","IT","*","*","10.00",,,
"EU-TVA-IT-Italy-Very_reduced_rate","IT","*","*","4.00",,,
"EU-TVA-LV-Latvia-Normal_rate","LV","*","*","21.00",,,
"EU-TVA-LV-Latvia-Reduced_rate","LV","*","*","12.00",,,
"EU-TVA-LT-Lithuania-Normal_rate","LT","*","*","21.00",,,
"EU-TVA-LT-Lithuania-Reduced_rate-9","LT","*","*","9.00",,,
"EU-TVA-LT-Lithuania-Redcued_rate-5","LT","*","*","5.00",,,
"EU-TVA-LU-Luxembourg-Normal_rate","LU","*","*","17.00",,,
"EU-TVA-LU-Luxembourg-Reduced_rate-14","LU","*","*","14.00",,,
"EU-TVA-LU-Luxembourg-Reduced_rate-8","LU","*","*","8.00",,,
"EU-TVA-LU-Luxembourg-Very_reduced_rate","LU","*","*","3.00",,,
"EU-TVA-MT-Malta-Normal_rate","MT","*","*","18.00",,,
"EU-TVA-MT-Malta-Reduced_rate-7","MT","*","*","7.00",,,
"EU-TVA-MT-Malta-Redcued_rate-5","MT","*","*","5.00",,,
"EU-TVA-NL-Netherlands-Normal_rate","NL","*","*","21.00",,,
"EU-TVA-NL-Netherlands-Reduced_rate","NL","*","*","6.00",,,
"EU-TVA-PL-Poland-Normal_rate","PL","*","*","23.00",,,
"EU-TVA-PL-Poland-Reduced_rate-8","PL","*","*","8.00",,,
"EU-TVA-PL-Poland-Redcued_rate-5","PL","*","*","5.00",,,
"EU-TVA-PR-Portugal-Normal_rate","PR","*","*","23.00",,,
"EU-TVA-PR-Portugal-Reduced_rate-13","PR","*","*","13.00",,,
"EU-TVA-PR-Portugal-Redcued_rate-6","PR","*","*","6.00",,,
"EU-TVA-CZ-Czech_Republic-Normal_rate","CZ","*","*","21.00",,,
"EU-TVA-CZ-Czech_Republic-Reduced_rate","CZ","*","*","15.00",,,
"EU-TVA-RO-Romania-Normal_rate","RO","*","*","24.00",,,
"EU-TVA-RO-Romania-Reduced_rate-9","RO","*","*","9.00",,,
"EU-TVA-RO-Romania-Reduced_rate-5","RO","*","*","5.00",,,
"EU-TVA-GB-United_Kingdom-Normal_rate","GB","*","*","20.00",,,
"EU-TVA-GB-United_Kingdom-Reduced_rate","GB","*","*","5.00",,,
"EU-TVA-GB-United_Kingdom-Very_reduced_rate","GB","*","*","0.00",,,
"EU-TVA-SK-Slovakia-Normal_rate","SK","*","*","20.00",,,
"EU-TVA-SK-Slovakia-Reduced_rate","SK","*","*","10.00",,,
"EU-TVA-SI-Slovenia-Normal_rate","SI","*","*","22.00",,,
"EU-TVA-SI-Slovenia-Reduced_rate","SI","*","*","9.50",,,
"EU-TVA-SE-Sweden-Normal_rate","SE","*","*","25.00",,,
"EU-TVA-SE-Sweden-Reduced_rate-12","SE","*","*","12.00",,,
"EU-TVA-SE-Sweden-Reduced_rate-6","SE","*","*","6.00",,,
"TVA-CH-Switzerland-Normal_rate","CH","*","*","8.00",,,
"TVA-CH-Switzerland-Reduced_rate-2.5","CH","*","*","2.50",,,
"TVA-CH-Switzerland-Reduced_rate-3.8","CH","*","*","3.8",,,
"TVA-IS-Island-Normal_rate","IS","*","*","24.00",,,
"TVA-IS-Island-Reduced_rate","IS","*","*","7.00",,,
"TVA-LI-Liechtenstein-Normal_rate","LI","*","*","7.6",,,
"TVA-LI-Liechtenstein-Reduced_rate","LI","*","*","2.4",,,
"TVA-AD-Andorra-Normal_rate","AD","*","*","4.5",,,
"TVA-NO-Norway-Normal_rate","NO","*","*","25.00",,,
"TVA-NO-Norway-Reduced_rate","NO","*","*","15.00",,,
"TVA-NO-Norway-Very_reduced_rate","NO","*","*","8.00",,,
"TVA-UA-Ukraine-Normal_rate","UA","*","*","20.00",,,
"TVA-MC-Monaco-Normal_rate","MC","*","*","20.00",,,
"TVA-MC-Monaco-Reduced_rate-10","MC","*","*","10.00",,,
"TVA-MC-Monaco-Reduced_rate-5.5","MC","*","*","5.5",,,
"TVA-MC-Monaco-Very_reduced_rate","MC","*","*","2.1",,,
"TVA-IM-Isle_of_Man-Normal_rate","IM","*","*","20.00",,,
"TVA-IM-Isle_of_Man-Reduced_rate","IM","*","*","5.00",,,
"TVA-IM-Isle_of_Man-Very_reduced_rate","IM","*","*","0.00",,,
